Total evidences in DB: 136

Id: 61 | Code: 5.03.2 | Name: 5.03.2 Entre el 50% y el 80% del Personal Docente en Función Administrativo - Pedagógica | Val: 50.00
Id: 66 | Code: 5.04.1 | Name: 5.04.1 Más del 80% del Personal Administrativo | Val: 100.00
Id: 64 | Code: 5.04.2 | Name: 5.04.2 Entre el 50% y 80% del Personal Administrativo | Val: 50.00
Id: 69 | Code: 5.05.1 | Name: 5.05.1 Más del 80% del Personal de Apoyo | Val: 100.00
Id: 67 | Code: 5.05.2 | Name: 5.05.2 Entre el 50% y el 80% del Personal de Apoyo | Val: 50.00
Id: 79 | Code: 5.06.1 | Name: 5.06.1 Evaluación de Desempeño Vinculado | Val: 100.00
Id: 78 | Code: 5.06.2 | Name: 5.06.2 Evaluación de Desempeño No Vinculado | Val: 60.00
Id: 100 | Code: 5.07.1 | Name: 5.07.1 Más del 80% del Personal Docente en Aula | Val: 100.00
Id: 99 | Code: 5.07.2 | Name: 5.07.2 Entre el 50% y el 80% del Personal Docente en Aula | Val: 60.00
Id: 102 | Code: 5.08.1 | Name: 5.08.1 Más del 80% del personal docente en funciones administrativo - pedagógica del Centro Educativo con acuerdos de Desempeño Evaluados | Val: 100.00
Id: 101 | Code: 5.08.2 | Name: 5.08.2 Entre el 50% y el 80% del Personal Docente en funciones Administrativo - Pedagógica con Acuerdos de Desempeño Evaluados en relación al universo de Acuerdos de Desempeño del Personal Docente en funciones Administrativo - Pedagógica existente en el C | Val: 60.00
Id: 104 | Code: 5.09.1 | Name: 5.09.1 Más del 80% del Personal Administrativo | Val: 100.00
Id: 103 | Code: 5.09.2 | Name: 5.09.2 Entre el 50% y el 80% del Personal Administrativo | Val: 60.00
Id: 106 | Code: 5.10.1 | Name: 5.10.1 Más del 80% del Personal de Apoyo | Val: 100.00
Id: 105 | Code: 5.10.2 | Name: 5.10.2 Entre el 50% y el 80% del Personal de Apoyo | Val: 60.00
Id: 30 | Code: 6.01.1 | Name: 6.01.1 Encima del 75% de los días lectivos del mes y acciones concretas para mejorar la asistencia escolar | Val: 100.00
Id: 29 | Code: 6.01.2 | Name: 6.01.2 Entre el 50% y 75% de los días lectivos del mes | Val: 60.00
Id: 114 | Code: 6.02.1 | Name: 6.02.1 De 96% a 100% días trabajados según calendario escolar | Val: 100.00
Id: 113 | Code: 6.02.2 | Name: 6.02.2 De 90% a 95% días trabajados según calendario escolar | Val: 70.00
Id: 112 | Code: 6.02.3 | Name: 6.02.3 Entre el 85% y el 90% días trabajados según calendario escolar. | Val: 50.00
Id: 117 | Code: 6.03.1 | Name: 6.03.1 Más del 95 % de los docentes con su carga horaria | Val: 100.00
Id: 116 | Code: 6.03.2 | Name: 6.03.2 Entre el 61% y el 95% de los docentes con su carga horaria | Val: 70.00
Id: 115 | Code: 6.03.3 | Name: 6.03.3 Menos del 60% de los docentes sin su carga horaria | Val: 50.00
Id: 74 | Code: 6.04.1 | Name: 6.04.1 Tasa de Promoción Más del 90% | Val: 100.00
Id: 73 | Code: 6.04.2 | Name: 6.04.2 Tasa de PromociónDel 85% al 90% | Val: 70.00
Id: 71 | Code: 6.04.3 | Name: 6.04.3 Tasa de Promoción Con menos del 85% | Val: 30.00
Id: 68 | Code: 6.05.1 | Name: 6.05.1 Tasa de Reprobados Con menos del 4.5% | Val: 100.00
Id: 65 | Code: 6.05.2 | Name: 6.05.2 Tasa de Repitencia deDel 4.5% al 6 % | Val: 70.00
Id: 63 | Code: 6.05.3 | Name: 6.05.3 Tasa de Repitencia Con más del 6% | Val: 30.00
Id: 135 | Code: 8.01.1 | Name: 8.01.1 Valor del Índice de Contribución del Centro al Desarrollo de la Comunidad donde está Situado | Val: 100.00
Id: 136 | Code: 9.01.1 | Name: 9.01.1 Valor del Índice de Contribución del Centro al Logro de las Metas Educativas Nacionales | Val: 100.00
Id: 58 | Code: Np 7.01.1 | Name: Np 7.01.1 Estudiantes Más del 61% | Val: 10.00
Id: 57 | Code: Np 7.01.2 | Name: Np 7.01.2 Estudiantes Del 51% al 60% | Val: 10.00
Id: 56 | Code: Np 7.01.3 | Name: Np 7.01.3 Estudiantes  Del 36% al 50% | Val: 5.00
Id: 55 | Code: Np 7.01.4 | Name: Np 7.01.4 Estudiantes Del 31% al 35% | Val: 5.00
Id: 54 | Code: Np 7.01.5 | Name: Np 7.01.5 Estudiantes  Del 26% al 30% | Val: 10.00
Id: 53 | Code: Np 7.01.6 | Name: Np 7.01.6 Estudiantes Del 16% al 25% | Val: 10.00
Id: 52 | Code: Np 7.01.7 | Name: Np 7.01.7 Estudiantes Del 11% al 15% | Val: 20.00
Id: 51 | Code: Np 7.01.8 | Name: Np 7.01.8 Estudiantes Del 6% al 10% | Val: 10.00
Id: 31 | Code: Np 7.01.9 | Name: Np 7.01.9 Estudiantes con desempeño satisfactorio en las Pruebas  Diagnósticas Del 1% al 5%. | Val: 20.00
Id: 50 | Code: Ns 7.01.1 | Name: Ns 7.01.1 Estudiantes Más del 41% | Val: 10.00
Id: 49 | Code: Ns 7.01.2 | Name: Ns 7.01.2 Estudiantes Del 26% al 30% | Val: 10.00
Id: 48 | Code: Ns 7.01.3 | Name: Ns 7.01.3 Estudiantes Del 26% al 30% | Val: 5.00
Id: 47 | Code: Ns 7.01.4 | Name: Ns 7.01.4 Estudiantes Del 22% al 25% | Val: 5.00
Id: 46 | Code: Ns 7.01.5 | Name: Ns 7.01.5 Estudiantes Del 19% al 21% | Val: 10.00
Id: 45 | Code: Ns 7.01.6 | Name: Ns 7.01.6 Estudiantes Del 16% al 18% | Val: 10.00
Id: 44 | Code: Ns 7.01.7 | Name: Ns 7.01.7 Estudiantes  Del 13% al 15% | Val: 20.00
Id: 43 | Code: Ns 7.01.8 | Name: Ns 7.01.8 Estudiantes con desempeño satisfactorio en las Pruebas Diagnósticas. Del 10% al 12% | Val: 10.00
Id: 42 | Code: Ns 7.01.9 | Name: Ns 7.01.9 Estudiantes con desempeño satisfactorio en las Pruebas Diagnósticas.  Por debajo del 10% | Val: 20.00
Id: 41 | Code: Ns 7.02.1 | Name: Ns 7.02.1 Estudiantes Más del 41% | Val: 10.00
Id: 40 | Code: Ns 7.02.2 | Name: Ns 7.02.2 Estudiantes Del 31% al 40% | Val: 10.00
Id: 39 | Code: Ns 7.02.3 | Name: Ns 7.02.3 Estudiantes Del 26% al 30% | Val: 5.00
Id: 38 | Code: Ns 7.02.4 | Name: Ns 7.02.4 Estudiantes Del 22% al 25% | Val: 5.00
Id: 37 | Code: Ns 7.02.5 | Name: Ns 7.02.5 Estudiantes Del 19% al 21% | Val: 10.00
Id: 36 | Code: Ns 7.02.6 | Name: Ns 7.02.6 Estudiantes Del 16% al 18% | Val: 10.00
Id: 35 | Code: Ns 7.02.7 | Name: Ns 7.02.7 Estudiantes Del 13% al 15% | Val: 20.00
Id: 34 | Code: Ns 7.02.8 | Name: Ns 7.02.8 Estudiantes Del 10% al 12% | Val: 10.00
Id: 33 | Code: Ns 7.02.9 | Name: Ns 7.02.9 Estudiantes Por debajo del 10% | Val: 20.00
